,0,1,2,3
0,1,P. Aubameyang | 29 | FW,22,
0,2,S. Mané | 26 | FW,22,
1,3,M. Salah | 26 | FW,22,
2,4,S. Agüero | 30 | FW,21,
3,5,J. Vardy | 31 | FW,18,
4,6,H. Kane | 25 | FW,17,
5,7,R. Sterling | 24 | FW,17,
6,8,E. Hazard | 27 | FW,16,
7,9,C. Wilson | 26 | FW,14,
8,10,G. Murray | 35 | FW,13,
9,11,G. Sigurdsson | 29 | CAM,13,
10,12,A. Lacazette | 27 | FW,13,
11,13,P. Pogba | 25 | CM,13,
12,14,R. Jiménez | 27 | FW,13,
13,15,Richarlison | 21 | FW,13,
14,16,A. Barnes | 29 | FW,12,
15,17,R. Lukaku | 25 | FW,12,
16,18,L. Milivojevic | 27 | CM,12,
17,19,J. King | 26 | FW,12,
18,20,S. Heung-Min | 26 | FW,12,
19,21,R. Firmino | 27 | FW,12,
20,22,A. Pérez | 25 | FW,12,
21,23,S. Rondón | 29 | FW,11,
22,24,A. Mitrovic | 24 | FW,11,
23,25,M. Arnautovic | 29 | FW,10,
24,26,C. Wood | 27 | FW,10,
25,27,W. Zaha | 26 | FW,10,
26,28,G. Deulofeu | 24 | FW,10,
27,29,L. Moura | 26 | FW,10,
28,30,A. Martial | 23 | FW,10,
29,31,M. Rashford | 21 | FW,10,
30,32,L. Sané | 22 | FW,10,
31,33,T. Deeney | 30 | FW,9,
32,34,F. Anderson | 25 | WAM,9,
33,35,D. Jota | 22 | FW,9,
34,36,Pedro | 31 | WAM,8,
35,37,C. Eriksen | 26 | CAM,8,
36,38,Chicharito | 30 | FW,7,
37,39,A. Gray | 27 | FW,7,
38,40,D. Ings | 26 | FW,7,
39,41,R. Fraser | 24 | WAM,7,
40,42,J. Ward-Prowse | 24 | CM,7,
41,43,R. Mahrez | 27 | FW,7,
42,44,D. Brooks | 21 | CAM,7,
43,45,B. Silva | 24 | CAM,7,
44,46,J. Maddison | 22 | CAM,7,
45,47,G. Jesus | 21 | FW,7,
46,48,D. Silva | 32 | CAM,6,
47,49,H. Mkhitaryan | 29 | WAM,6,
48,50,M. Antonio | 28 | FW,6,
49,51,I. Gündogan | 28 | CM,6,
50,52,A. Townsend | 27 | FW,6,
51,53,R. Pereyra | 27 | CAM,6,
52,54,A. Schürrle | 28 | WAM,6,
53,55,X. Shaqiri | 27 | WAM,6,
54,56,N. Redmond | 24 | FW,6,
55,57,R. Loftus-Cheek | 22 | CM,6,
56,58,D. Calvert-Lewin | 21 | FW,6,
57,59,J. Milner | 32 | CM,5,
58,60,M. Noble | 31 | CM,5,
59,61,R. Babel | 32 | WAM,5,
60,62,S. Long | 31 | FW,5,
61,63,T. Walcott | 29 | WAM,5,
62,64,M. Özil | 30 | CAM,5,
63,65,G. Higuaín | 31 | FW,5,
64,66,S. Duffy | 26 | CB,5,
65,67,Á. Morata | 26 | FW,5,
66,68,M. Batshuayi | 25 | FW,5,
67,69,B. De Cordova-Reid | 25 | FW,5,
68,70,D. Alli | 22 | CAM,5,
69,71,A. Doucouré | 25 | CM,5,
70,72,V. Camarasa | 24 | CM,5,
71,73,S. Bamba | 33 | CB,4,
72,74,A. Ramsey | 28 | CM,4,
73,75,E. Lamela | 26 | CAM,4,
74,76,N. Méndez-Laing | 26 | WAM,4,
75,77,G. Xhaka | 26 | CM,4,
76,78,J. Schlupp | 26 | FB,4,
