,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Manchester City,89,84.43,38,28,5,5,94,33,61,84.73,33.43,51.3,11.74
1,2,Arsenal,84,72.78,38,26,6,6,88,43,45,73.93,43.02,30.91,10.99
2,3,Manchester United,75,66.07,38,23,6,9,58,43,15,70.93,49.08,21.85,12.33
3,4,Newcastle United,71,71.68,38,19,14,5,68,33,35,75.45,41.73,33.72,10.42
4,5,Liverpool,67,68.14,38,19,10,9,75,47,28,79.93,53.77,26.16,10.37
5,6,Brighton and Hove Albion,62,68.63,38,18,8,12,72,53,19,77.37,50.06,27.31,10.28
6,7,Aston Villa,61,53.88,38,18,7,13,51,46,5,51.55,55.25,-3.7,12.7
7,8,Tottenham Hotspur,60,59.21,38,18,6,14,70,63,7,60.37,51.74,8.63,13.89
8,9,Brentford,59,57.77,38,15,14,9,58,46,12,59.46,52.28,7.18,12.66
9,10,Fulham,52,39.46,38,15,7,16,55,53,2,46.74,70.9,-24.16,13.92
10,11,Crystal Palace,45,43.58,38,11,12,15,40,49,-9,40.59,51.6,-11.01,13.95
11,12,Chelsea,44,53.31,38,11,11,16,38,47,-9,51.02,51.9,-0.88,9.96
12,13,Wolverhampton Wanderers,41,36.77,38,11,8,19,31,58,-27,35.44,60.27,-24.82,12.79
13,14,West Ham United,40,50.56,38,11,7,20,42,55,-13,50.65,55.43,-4.78,16.25
14,15,Bournemouth,39,35.68,38,11,6,21,37,71,-34,40.19,66.43,-26.24,15.79
15,16,Nottingham Forest,38,33.15,38,9,11,18,38,68,-30,38.23,68.94,-30.71,16.63
16,17,Everton,36,40.11,38,8,12,18,34,57,-23,47.25,67.54,-20.3,14.81
17,18,Leicester City,34,43.03,38,9,7,22,51,68,-17,47.01,62.55,-15.54,13.02
18,19,Leeds United,31,39.71,38,7,10,21,48,78,-30,47.14,69.06,-21.92,10.45
19,20,Southampton,25,37.03,38,6,7,25,36,73,-37,37.91,61.79,-23.88,13.26
