,Pos,Club,Pts,xPts,MP,W,D,L,G,GA,GD,xG,xGA,xGD,PPDA
0,1,Manchester City,100,90.26,38,32,4,2,106,27,79,88.34,24.43,63.91,8.27
1,2,Manchester United,81,65.1,38,25,6,7,68,28,40,62.11,42.17,19.95,11.98
2,3,Tottenham Hotspur,77,76.02,38,23,8,7,74,36,38,69.27,36.16,33.11,9.78
3,4,Liverpool,75,79.74,38,21,12,5,84,38,46,77.38,32.95,44.43,11.16
4,5,Chelsea,70,67.34,38,21,7,10,62,38,24,57.61,34.07,23.55,13.8
5,6,Arsenal,63,64.39,38,19,6,13,74,51,23,71.68,49.74,21.94,10.75
6,7,Burnley,54,40.72,38,14,12,12,36,39,-3,34.15,53.17,-19.02,15.31
7,8,Everton,49,47.01,38,13,10,15,44,58,-14,42.76,54.66,-11.9,12.24
8,9,Leicester City,47,55.52,38,12,11,15,56,60,-4,51.02,50.67,0.35,13.02
9,10,Newcastle United,44,45.92,38,12,8,18,39,47,-8,45.01,54.52,-9.51,14.34
10,11,Crystal Palace,44,57.29,38,11,11,16,45,55,-10,56.86,51.5,5.36,13.15
11,12,Bournemouth,44,39.88,38,11,11,16,45,61,-16,41.43,62.33,-20.9,15.51
12,13,West Ham United,42,38.46,38,10,12,16,48,68,-20,36.25,59.69,-23.44,14.12
13,14,Watford,41,46.53,38,11,8,19,44,64,-20,46.38,54.02,-7.64,12.33
14,15,Brighton and Hove Albion,40,39.67,38,9,13,16,34,54,-20,36.84,56.55,-19.71,17.12
15,16,Huddersfield Town,37,35.45,38,9,10,19,28,58,-30,30.86,54.65,-23.79,13.57
16,17,Southampton,36,47.5,38,7,15,16,37,56,-19,41.53,49.1,-7.57,11.26
17,18,Swansea City,33,33.76,38,8,9,21,28,56,-28,31.41,61.32,-29.91,15.58
18,19,Stoke City,33,35.4,38,7,12,19,35,68,-33,36.86,66.36,-29.5,15.08
19,20,West Bromwich Albion,31,44.92,38,6,13,19,31,56,-25,36.91,46.62,-9.71,14.99
