,0,1,2,3
0,1,E. Haaland | 22 | Fw,36
0,2,H. Kane | 29 | FW,30,
1,3,I. Toney | 26 | FW,20,
2,4,M. Salah | 30 | WAM,19,
3,5,C. Wilson | 30 | FW,18,
4,6,M. Rashford | 25 | WAM,17,
5,7,O. Watkins | 27 | FW,15,
6,8,M. Ødegaard | 24 | CM,15,
7,9,G. Martinelli | 21 | WAM,15,
8,10,A. Mitrovic | 28 | FW,14,
9,11,B. Saka | 21 | WAM,14,
10,12,Rodrigo | 31 | FW,13,
11,13,H. Barnes | 25 | WAM,13,
12,14,R. Firmino | 31 | FW,11,
13,15,M. Almirón | 28 | WAM,11,
14,16,G. Jesus | 25 | FW,11,
15,17,P. Foden | 22 | WAM,11,
16,18,S. Heung-Min | 30 | CAM,10,
17,19,J. Maddison | 26 | WAM,10,
18,20,T. Awoniyi | 25 | FW,10,
19,21,A. Isak | 23 | FW,10,
20,22,E. Eze | 24 | CM,10,
21,23,A. Mac Allister | 24 | CM,10,
22,24,P. Groß | 31 | CM,9,
23,25,J. Ward-Prowse | 28 | CM,9,
24,26,B. Mbeumo | 23 | WAM,9,
25,27,D. Núñez | 23 | FW,9,
26,28,J. Álvarez | 22 | FW,9,
27,29,I. Gündogan | 32 | CM,8,
28,30,B. Fernandes | 28 | CAM,8,
29,31,B. Johnson | 21 | FW,8,
30,32,K. De Bruyne | 31 | CM,7,
31,33,W. Zaha | 30 | WAM,7,
32,34,G. Xhaka | 30 | CM,7,
33,35,S. March | 28 | WAM,7,
34,36,L. Trossard | 28 | FB,7,
35,37,P. Billing | 26 | CAM,7,
36,38,D. Jota | 26 | WAM,7,
37,39,Y. Wissa | 26 | WAM,7,
38,40,K. Havertz | 23 | FW,7,
39,41,C. Gakpo | 23 | FW,7,
40,42,D. McNeil | 23 | WAM,7,
41,43,K. Mitoma | 25 | WAM,7,
42,44,D. Welbeck | 32 | FW,6,
43,45,D. Ings | 30 | FW,6,
44,46,R. Sterling | 28 | WAM,6,
45,47,A. Martial | 27 | FW,6,
46,48,D. Solanke | 25 | FW,6,
47,49,R. Neves | 25 | CM,6,
48,50,S. Benrahma | 27 | WAM,6,
49,51,J. Bowen | 26 | WAM,6,
50,52,Joelinton | 26 | CM,6,
51,53,D. Podence | 27 | WAM,6,
52,54,J. Sancho | 22 | WAM,6,
53,55,D. Luiz | 24 | CM,6,
54,56,J. Ramsey | 21 | WAM,6,
55,57,E. Ferguson | 18 | FW,6,
56,58,Willian | 34 | WAM,5,
57,59,M. Antonio | 32 | FW,5,
58,60,R. Mahrez | 31 | WAM,5,
59,61,J. Grealish | 27 | WAM,5,
60,62,A. Doucouré | 29 | CM,5,
61,63,J. Lerma | 28 | CM,5,
62,64,K. Iheanacho | 26 | FW,5,
63,65,E. Buendía | 26 | CAM,5,
64,66,O. Édouard | 24 | FW,5,
65,67,C. Adams | 26 | FW,5,
66,68,M. Tavernier | 23 | WAM,5,
67,69,R. Bentancur | 25 | CM,5,
68,70,M. Jensen | 26 | CM,5,
69,71,J. Harrison | 26 | WAM,5,
70,72,M. Gibbs-White | 22 | CAM,5,
71,73,L. Sinisterra | 23 | WAM,5,
72,74,C. Vinícius | 27 | FW,5,
73,75,D. Undav | 26 | FW,5,
74,76,Casemiro | 30 | CM,4,
75,77,J. Ayew | 31 | WAM,4,
76,78,B. De Cordova-Reid | 29 | WAM,4,
77,79,P. Bamford | 29 | FW,4,
78,80,J. Murphy | 27 | WAM,4,
79,81,K. Moore | 30 | FW,4,
80,82,P. Højbjerg | 27 | CM,4,
81,83,A. Pereira | 26 | CAM,4,
82,84,B. Silva | 28 | CM,4,
83,85,D. Gray | 26 | WAM,4,
84,86,J. Dasilva | 24 | CM,4,
85,87,D. Rice | 23 | CM,4,
86,88,E. Nketiah | 23 | FW,4,
87,89,B. Guimarães | 25 | CM,4,
88,90,L. Bailey | 25 | WAM,4,
89,91,L. Paquetá | 25 | CAM,4,
90,92,M. Solomon | 23 | WAM,4,
91,93,L. Díaz | 25 | WAM,4,
92,94,P. Daka | 24 | FW,4,
93,95,J. Félix | 23 | FW,4,
94,96,C. Summerville | 21 | WAM,4,
95,97,Antony | 22 | WAM,4,
96,98,J. Enciso | 18 | WAM,4,
97,99,C. Alcaraz | 20 | CAM,4,
98,100,B. Mee | 33 | CB,3,
99,101,J. Schlupp | 30 | CM,3,
100,102,V. van Dijk | 31 | CB,3,
101,103,J. Vardy | 35 | FW,3,
102,104,H. Reed | 27 | CM,3,
103,105,J. Palhinha | 27 | CM,3,
104,106,Y. Tielemans | 25 | CM,3,
105,107,T. Partey | 29 | CM,3,
106,108,M. Mount | 23 | CAM,3,
107,109,H. Hee-Chan | 26 | WAM,3,
108,110,G. Scamacca | 23 | FW,3,
109,111,J. Willock | 23 | CM,3,
110,112,R. Nelson | 23 | WAM,3,
111,113,V. Janelt | 24 | CM,3,
112,114,C. Jones | 21 | CM,3,
